모델명,연료,트림,가격
더 뉴 맥스크루즈,디젤,2.2 2WD,1570
올란도,LPG,LPG LT,249
스팅어,가솔린,2.0 터보 2WD,1690
레이,가솔린,럭셔리,550
더 뉴 K5,LPG,LPI 디럭스,745
K5 3세대,가솔린,1.6 터보,2499
스파크,가솔린,밴,230
뉴모닝,가솔린,LX,250
올 뉴 K3,가솔린,트렌디,1060
더 뉴 기아 레이,가솔린,시그니처,1480
트레일블레이저,가솔린,1.3 터보 2WD,1930
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1620
그랜저 HG,가솔린,HG300 노블,500
쏘나타 디 엣지(DN8),가솔린,2,2690
G80,가솔린,3.3 GDI AWD,1699
제네시스 DH,가솔린,G330 프리미엄 AWD,1340
더 뉴 아반떼 하이브리드 (CN7),가솔린+전기,모던,2680
팰리세이드,디젤,2.2 4WD,3370
카니발 4세대,디젤,9인승 노블레스,2950
티볼리,디젤,VX 2WD,680
G90 (RS4),가솔린,3.5 터보 AWD,8250
아이오닉 하이브리드,가솔린+전기,N,1300
G80,디젤,2.2D AWD,1850
더 뉴 싼타페,가솔린,2.5T 2WD,2740
크루즈,디젤,2.0 LTZ+ 더 퍼펙트 블랙,430
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2340
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄 초이스,2250
올 뉴 쏘렌토,디젤,2.0 2WD,1380
투싼 ix,디젤,2WD LX20,600
K7 프리미어,가솔린,2.5 GDI 노블레스,1570
그랜저 IG,가솔린,3.0 익스클루시브,1399
엑센트(신형),가솔린,1.4 VVT 모던,559
더 뉴 그랜저 IG,가솔린,2.5,1890
스타리아,LPG,L3.5 어린이보호차,3720
K7 프리미어,가솔린,2.5 GDI X 에디션,3333
뉴SM3,가솔린,SE 블랙,290
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4940
그랜저 HG,LPG,LPG HG300 프리미엄,680
모하비 더 마스터,디젤,3.0 4WD 6인승,5490
올 뉴 카마로,가솔린,SS 6.2 V8,2230
G80,가솔린,3.3 T-GDI AWD,3450
뉴SM5(신형),가솔린,SE 플러스,270
더 뉴 카니발 4세대,가솔린,9인승 하이리무진,3850
더 뉴 쏘렌토,디젤,2.2 2WD,1599
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3600
G80 (RG3),가솔린,2.5 터보 AWD,3480
카니발 4세대,가솔린,7인승 시그니처,3890
싼타페 (MX5),가솔린+전기,HEV 1.6 4WD,4590
더 뉴 카니발,디젤,9인승 노블레스,2290
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄 초이스,9999
코나,가솔린,1.6 터보 2WD,1690
더 뉴 기아 레이,가솔린,시그니처,1740
G80,가솔린,3.3 GDI,2350
올 뉴 투싼,디젤,2.0 2WD,1699
어메이징 뉴 크루즈,가솔린,1.4 터보 LTZ,790
K5 2세대,디젤,1.7  SX,980
스포티지 4세대,디젤,2.0 2WD 노블레스,1250
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,680
G90,가솔린,3.3 T AWD,3890
뉴카렌스,LPG,LPI 2.0 GLX,250
올 뉴 카니발,디젤,7인승 리무진,1020
뉴코란도 C,디젤,2.0 어드벤처 60th 에디션 2WD,310
에쿠스(신형),가솔린,VS500,730
G70,가솔린,2.0T,2430
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,3218
티볼리,가솔린,LX 2WD,799
G70,가솔린,3.3T 스포츠 AWD,2050
더 뉴 G70,가솔린,3.3T 4WD,2980
스타리아,LPG,L3.5 어린이보호차,2970
어메이징 뉴 크루즈,디젤,2.0  LTZ,570
GV80,가솔린,2.5T  AWD,7830
G80 (RG3),가솔린,3.5 터보 AWD,5330
올 뉴 투싼,가솔린,1.6 터보 2WD,1880
더 뉴 그랜저 IG,LPG,3.0 LPi,3230
클리오,디젤,인텐스 파노라믹,750
K7 프리미어 하이브리드,가솔린+전기,시그니처,2699
스포티지 4세대,디젤,2.0 2WD 트렌디,1090
그랜저 (GN7),가솔린,2.5  2WD,3980
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4190
더 뉴 레이,가솔린,프레스티지,8899
더 뉴 G70,가솔린,2.0T 2WD,3950
올 뉴 모닝 (JA),가솔린,디럭스,470
셀토스,가솔린,1.6 터보 4WD,2250
제네시스,가솔린,BH330 럭셔리,550
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄,2420
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2599
G90 (RS4),가솔린,3.5 터보 e-S/C 2WD,9390
제네시스 DH,가솔린,G380 익스클루시브 AWD,1360
더 뉴 그랜저 IG,가솔린,2.5,3250
그랜저 HG,가솔린,HG240 럭셔리,479
뉴QM3,디젤,RE,860
트랙스 크로스오버,가솔린,1.2 ACTIV,2670
콜로라도,가솔린,3.6 익스트림-X 4WD,2890
K5 3세대,가솔린,1.6 터보,2120
K5 2세대,LPG,LPI MX,899
올 뉴 카마로,가솔린,SS 6.2 V8,1900
제네시스 DH,가솔린,G380 프레스티지,1490
SM6,가솔린,1.6 TCe RE,720
G80,가솔린,3.3 GDI AWD,1530
더 뉴 QM6,LPG,2.0 LPe 프리미에르 2WD,1990
카니발 4세대,디젤,9인승 노블레스,2680
K5 하이브리드 3세대,가솔린+전기,노블레스,2790
K8 하이브리드,가솔린+전기,노블레스,3280
G90 (RS4),가솔린,3.5 터보 e-S/C AWD,9380
GV80,가솔린,3.5T  AWD,4850
그랜저 (GN7),가솔린,2.5  2WD,3630
더 뉴 카니발 4세대,디젤,9인승 노블레스,4199
아반떼 MD,가솔린,M16 GDI 에비뉴,550
벨로스터 (JS),가솔린,1.4 터보 모던,1380
스파크,LPG,LPG LS,340
GV80,가솔린,2.5T  AWD,5990
뉴 그랜저 XG,가솔린,3.5,550
G70,가솔린,3.3T 스포츠 AWD,2599
더 뉴 K5,LPG,LPI 택시형,538
EQ900,가솔린,3.8 GDI,1111
YF 쏘나타,가솔린,CVVL 프라임,360
SM5 뉴 임프레션,가솔린,SE 블랙,180
베리 뉴 티볼리,가솔린,1.5 2WD,1150
G4 렉스턴,디젤,2.2 4WD,1699
쏘나타 뉴 라이즈,가솔린,2.0 모던,990
셀토스,가솔린,1.6 터보 2WD,2160
산타모,LPG,플러스 LPG DLX 2WD,390
더 뉴 티볼리,가솔린,1.6 2WD,1820
싼타페 더 프라임,디젤,2.0 2WD,1499
그랜드 스타렉스,디젤,4WD 앰뷸런스,3290
더 뉴 레이,가솔린,밴,1120
그랜저 (GN7),가솔린,2.5  2WD,3970
더 뉴 팰리세이드,디젤,2.2 2WD,9999
뷰티풀 코란도,디젤,1.6 2WD C7,9999
G70,가솔린,3.3T 스포츠 AWD,2450
셀토스,디젤,1.6 2WD,1750
카니발 4세대,가솔린,9인승 프레스티지,2799
K5 3세대,가솔린,2,2040
G90,가솔린,5.0 AWD,4300
아반떼 AD,가솔린,1.6 GDI 스타일,1120
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,3250
코란도 스포츠,디젤,익스트림 4WD,790
그랜저 IG,가솔린,2.4 프리미엄,2130
올 뉴 말리부,가솔린,1.5 터보 LTZ,900
토레스 EVX,전기,E7,4150
더 뉴 레이,가솔린,밴,8899
G90,가솔린,5.0 AWD,5990
더 뉴 코나,가솔린,2.0 2WD,2999
카니발 4세대,가솔린,7인승 시그니처,2990
싼타페 (MX5),가솔린,2.5T 2WD,3450
K7 프리미어 하이브리드,가솔린+전기,시그니처,2690
SM3 네오,가솔린,SE 플러스,350
더 뉴 카니발,디젤,7인승 하이리무진,2650
아반떼 (CN7),LPG,1.6 LPi,1650
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,3990
쏘나타 (DN8),가솔린,2,1890
더 뉴 모닝,가솔린,밴,449
K5 하이브리드,가솔린+전기,럭셔리,590
그랜드 스타렉스,디젤,3인승 밴,1130
스포티지 4세대,디젤,1.7 2WD 노블레스,980
i30(신형),가솔린,1.6 GDI PYL,590
GV70,가솔린,2.5T  AWD,4699
스팅어 마이스터,가솔린,2.5 마스터즈,2720
카니발 4세대,디젤,9인승 노블레스,2250
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4377
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,930
QM3,디젤,RE 시그니처,680
쏘나타 디 엣지 하이브리드(DN8),가솔린+전기,프리미엄,3590
올 뉴 K7,디젤,2.2  리미티드,1900
스포티지 4세대,디젤,2.0 2WD 프레스티지,1425
더 뉴 카니발,디젤,7인승 리무진,3333
더 뉴 카니발,디젤,7인승 리무진,2130
아반떼 (CN7),가솔린,1.6,1530
EV6,전기,롱레인지,3699
마티즈 크리에이티브,가솔린,재즈,195
더 뉴 레이,가솔린,밴,819
그랜저 HG,가솔린,HG300 익스클루시브 스페셜,1070
EV6,전기,롱레인지,3749
뉴체어맨 W,가솔린,CW700 4TRONIC,890
카니발 R,디젤,그랜드 카니발 GLX,450
올 뉴 모닝,가솔린,럭셔리,280
K5 3세대,가솔린,2,1950
YF 쏘나타,가솔린,Y20 프리미어,560
스포티지 더 볼드,디젤,1.6 2WD,1830
더 뉴 그랜드 스타렉스,디젤,리무진,2250
레이,가솔린,럭셔리,630
EQ900,가솔린,5.0 GDI AWD,3490
카니발 4세대,디젤,9인승 시그니처,2650
올 뉴 말리부,가솔린,2.0 터보 LTZ,699
티볼리,가솔린,LX 2WD,885
더 뉴 K8 하이브리드,가솔린+전기,시그니처,5380
더 뉴 그랜저 IG,가솔린,3.3,2190
트레일블레이저,가솔린,1.3 터보 2WD,1799
스파크,가솔린,LT,290
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,750
올 뉴 카니발,디젤,7인승 리무진,1750
레이,가솔린,터보 프레스티지,670
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2780
더 뉴 카니발,디젤,7인승 리무진,1750
엑센트(신형),가솔린,1.4 VVT 모던,815
더 뉴 트랙스,가솔린,1.4 LT,1090
스포티지 5세대 하이브리드,가솔린+전기,시그니처 그래비티 4WD,4399
아이오닉5,전기,롱레인지 AWD,4999
쏘렌토 4세대,디젤,2.2 2WD,2860
싼타페 TM,가솔린,2.0T 2WD,2550
올 뉴 카마로,가솔린,SS 6.2 V8,2559
스포티지 5세대 하이브리드,가솔린+전기,시그니처 4WD,3790
더 뉴 K3 2세대,가솔린,1.6,1550
GV70,가솔린,2.5T  AWD,6380
카니발 4세대,가솔린,9인승 하이리무진,3490
더 뉴 그랜저 IG 하이브리드,가솔린+전기,르블랑,3330
아이오닉5,전기,롱레인지,3310
더 뉴 쏘렌토,디젤,2.2 4WD,1670
팰리세이드,가솔린,3.8 2WD,2650
더 뉴 레이,가솔린,프레스티지,850
G80,가솔린,3.3 GDI AWD,1360
더 뉴 기아 레이 EV,전기,밴,1980
더 뉴 싼타페,가솔린,2.5T 4WD,3830
G70,가솔린,2.0T AWD,2590
더 뉴 스파크,가솔린,프리미어,790
아반떼 (CN7),가솔린,1.6,1660
올 뉴 K7,가솔린,3.3 GDI 노블레스,1449
쏘나타 뉴 라이즈,가솔린,2.0 모던,1270
카니발 4세대,가솔린,9인승 하이리무진,9999
올 뉴 모닝 (JA),가솔린,레이디,810
더 뉴 그랜드 스타렉스,디젤,웨건 12인승,2020
G80 (RG3),가솔린,2.5 터보 AWD,5180
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4350
더 뉴 싼타페,가솔린,2.5T 2WD,3500
아반떼 MD,가솔린,M16 GDI 럭셔리,440
G80 (RG3),가솔린,2.5 터보 2WD,5100
올 뉴 쏘렌토,디젤,2.2 2WD,1510
더 뉴 카니발,디젤,7인승 리무진,1940
그랜저 HG,디젤,HG220  프리미엄,550
더 뉴 싼타페,가솔린,2.5T 2WD,2490
EV9,전기,롱레인지 4WD,6590
그랜저 (GN7),가솔린,2.5  2WD,3290
카니발 R,디젤,그랜드 카니발 GLX,395
더 뉴 카니발,가솔린,9인승 하이리무진,2999
K5,가솔린,2.0 럭셔리,690
아이오닉 일렉트릭,전기,N,850
올 뉴 K3,가솔린,럭셔리,1390
EQ900,가솔린,5.0 GDI AWD,2300
그랜저 하이브리드 (GN7),가솔린+전기,프리미엄,3350
쏘나타 (DN8),가솔린,2,1899
G80 (RG3),가솔린,2.5 터보 2WD,4859
아반떼 (CN7),가솔린,1.6,2220
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3390
G80,가솔린,3.3 GDI,1980
스타리아,가솔린+전기,HEV 1.6 투어러 9인승,3850
카니발 4세대,디젤,9인승 프레스티지,2079
더 뉴 스파크,가솔린,프리미어,720
뉴 투싼 ix,디젤,2WD,1090
더 뉴 셀토스,가솔린,2.0 2WD,2160
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,9999
코나 (SX2),가솔린,1.6 터보 2WD,2990
LF 쏘나타,가솔린,1.6 터보 스마트,930
제네시스 DH,가솔린,G330 모던,890
더 뉴 카니발,가솔린,9인승 하이리무진,3090
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3850
더 뉴 K7,가솔린,2.4 GDI 프레스티지,870
더 뉴 아반떼 (CN7),가솔린,1.6,2190
레이,가솔린,프레스티지,640
더 뉴 카니발 4세대,가솔린,9인승 하이리무진,7300
그랜저 IG,가솔린,2.4 프리미엄,1290
올 뉴 K3,가솔린,스탠다드,1160
올 뉴 카니발,디젤,9인승 프레스티지,1490
올 뉴 카마로,가솔린,SS 6.2 V8,2590
모닝 어반 (JA),가솔린,스탠다드,920
더 뉴 트랙스,가솔린,1.4 프리미어,990
카니발 4세대,디젤,9인승 하이리무진,3650
벨로스터 (JS),가솔린,1.6 터보 스포츠,1280
더 뉴 싼타페,디젤,2.2 4WD,2920
티볼리,가솔린,엣지 에디션 2WD,890
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,2150
K8 하이브리드,가솔린+전기,시그니처,3230
G80,가솔린,3.3 GDI,2740
그랜저 HG,가솔린,HG240 모던,500
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,4950
그랜저 HG,LPG,LPG HG300 익스클루시브,899
트랙스 크로스오버,가솔린,1.2 ACTIV,2430
K7 프리미어 하이브리드,가솔린+전기,노블레스,2350
아반떼 HD,가솔린,1.6 VVT S16,299
더 뉴 쏘렌토 4세대,디젤,2.2 2WD,4090
K8,가솔린,3.5  2WD,2750
카니발 4세대,디젤,9인승 시그니처,2400
더 뉴 쏘렌토,디젤,2.0 2WD,1789
카니발 4세대,디젤,9인승 노블레스,2649
G80,가솔린,3.3 GDI,1180
더 뉴 카니발,디젤,9인승 럭셔리,1430
스포티지 5세대,가솔린,1.6 터보 2WD,3250
더 뉴 맥스크루즈,디젤,2.2 4WD,1599
벨로스터 (JS),가솔린,2.0 N,2350
올 뉴 렉스턴,디젤,2.2 4WD,2799
카니발 4세대,디젤,9인승 노블레스,3590
더 뉴 쏘렌토,디젤,2.2 4WD,2190
K5 3세대,가솔린,2,1870
쏘나타 디 엣지(DN8),가솔린,1.6 터보,3350
스파크,가솔린,LT,250
올 뉴 카렌스,LPG,2.0 LPi 프레스티지,899
코나 하이브리드,가솔린+전기,모던 스페셜,1350
티볼리,가솔린,VX 2WD,699
더 뉴 그랜저 IG,가솔린,3.3,2620
쏘나타 (DN8),가솔린,2,1530
더 뉴 그랜저 IG,가솔린,2.5,2260
티볼리 아머,가솔린,LX 4WD,1540
올 뉴 카니발,디젤,9인승 프레스티지,1330
카니발 4세대,디젤,9인승 프레스티지,2450
G70,가솔린,2.0T,2250
GV70,가솔린,3.5T  AWD,5550
카니발 4세대,디젤,9인승 노블레스,2760
오피러스 프리미엄,LPG,LPI GH270 고급형,320
SM6,가솔린,2.0 GDe LE,1190
올 뉴 투싼,가솔린,1.6 터보 2WD,2120
더 뉴 레이,가솔린,트렌디,999
카니발 4세대,가솔린,9인승 하이리무진,4140
G90,가솔린,3.8 AWD,4240
싼타페 TM,디젤,2.0 2WD,2590
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1950
쏘나타 (DN8),LPG,2.0 LPG,2750
트래버스,가솔린,3.6 AWD 하이컨트리,4635
엑센트(신형),가솔린,1.4 VVT 모던,350
QM6,디젤,4WD RE 시그니처,1229
K5 하이브리드 3세대,가솔린+전기,시그니처,2950
더 뉴 K9,가솔린,5.0 GDI 퀀텀,1490
올 뉴 모닝,가솔린,디럭스 스페셜,259
슈퍼 렉스턴,디젤,4WD RX6,290
LF 쏘나타,LPG,LPI 프리미엄,670
더 뉴 기아 레이,가솔린,프레스티지,1610
더 뉴 SM6,가솔린,1.3 TCe RE,2150
스타리아,LPG,L3.5 어린이보호차,3400
그랜저 HG,가솔린,HG240 모던,549
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,9999
LF 쏘나타 하이브리드,가솔린+전기,2.0 HEV,820
쏠라티,디젤,15인승,2800
스팅어,가솔린,3.3 터보 2WD,1780
티볼리,디젤,LX 2WD,499
스팅어,가솔린,3.3 터보 AWD,1680
스팅어 마이스터,가솔린,3.3 GT 마스터즈 터보 패키지,2950
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1370
벨로스터 (JS),가솔린,2.0 N,2450
쏘나타 하이브리드 (DN8),가솔린+전기,프리미엄,2399
K5 하이브리드 3세대,가솔린+전기,시그니처,2160
더 뉴 스포티지 R,디젤,2WD 럭셔리,660
스타리아,디젤,투어러 11인승,7777
올 뉴 K3,가솔린,럭셔리,1020
트레일블레이저,가솔린,1.3 터보 2WD,2070
스포티지 더 볼드,디젤,1.6 2WD,1430
더 뉴 아반떼 AD,가솔린,1.6,1070
아반떼 AD,디젤,1.6 e-VGT 스마트,860
더 뉴 렉스턴 스포츠,디젤,2.2 4WD,2249
더 뉴 카마로,가솔린,SS 6.2 V8,3390
카니발 4세대,디젤,9인승 프레스티지,2430
더 뉴 아반떼 AD,가솔린,1.6,1090
제네시스 DH,가솔린,G380 프레스티지 AWD,2170
그랜저 IG,가솔린,2.4 프리미엄,1440
더 뉴 모닝 (JA),가솔린,프레스티지,1650
팰리세이드,디젤,2.2 2WD,2850
올 뉴 K7,가솔린,3.0 GDI 프레스티지,1249
K8,LPG,3.5 LPG 2WD,2150
뷰티풀 코란도,디젤,1.6 2WD C5,1299
G90 (RS4),가솔린,3.5 터보 AWD,6750
G80,가솔린,3.3 GDI AWD,1920
더 뉴 팰리세이드,가솔린,3.8 4WD,4490
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,3030
더 뉴 아반떼,가솔린,1.6 GDi 스타일,635
팰리세이드,가솔린,3.8 4WD,2800
뉴QM5,디젤,2WD 살로몬 에디션,350
엑센트(신형),가솔린,1.4 VVT 모던,550
그랑 콜레오스,가솔린+전기,1.5 E-TECH 아이코닉 2WD,4095
스포티지 5세대 하이브리드,가솔린+전기,시그니처 그래비티 2WD,2890
아이오닉5,전기,롱레인지,3380
G80 (RG3),가솔린,2.5 터보 AWD,4690
SM6,가솔린,2.0 GDe LE,750
G90,가솔린,3.8 AWD,2690
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,849
더 뉴 니로,가솔린+전기,1.6 HEV,1989
QM3,디젤,RE,670
올 뉴 K7 하이브리드,가솔린+전기,노블레스,1540
G80,가솔린,3.3 T-GDI,2690
그랜저 IG,가솔린,2.4 프리미엄,2150
투싼 (NX4),가솔린,1.6 터보 2WD,1880
렉스턴 W,디젤,2.0 4WD RX7,550
캐스퍼,가솔린,스마트,1160
카니발 4세대,가솔린,9인승 시그니처,2950
SM6,가솔린,2.0 GDe RE,900
아반떼 MD,가솔린,M16 GDI 에비뉴,399
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1019
카니발 R,디젤,뉴카니발 GX,350
YF 쏘나타,LPG,LPI 럭셔리,330
K5 하이브리드,가솔린+전기,프레스티지,410
LF 쏘나타,LPG,LPI 프리미엄 스페셜,1020
더 뉴 QM6,LPG,2.0 LPe LE 2WD,1690
쏘렌토 4세대,가솔린,2.5T 2WD,2850
캐스퍼,가솔린,터보 인스퍼레이션,1640
K5 3세대,가솔린,2,1800
그랜저 IG,가솔린,3.0 익스클루시브,1480
더 뉴 카니발,가솔린,9인승 하이리무진,2790
QM5,디젤,2WD SE,250
올란도,LPG,LPG LT,415
더 뉴 K3 2세대,가솔린,1.6,1249
G80,가솔린,3.3 GDI AWD,1439
SM6,가솔린,2.0 GDe LE,549
싼타페 (MX5),가솔린+전기,HEV 1.6 4WD,4250
더 뉴 그랜저 IG,가솔린,3.3,2799
더 뉴 레이,가솔린,밴,650
베리 뉴 티볼리,디젤,1.6 2WD,970
더 뉴 모닝,가솔린,스포츠 RUN HIGH,499
올 뉴 프라이드,가솔린,1.6 GDI 세단,480
아반떼 (CN7),가솔린,1.6,1295
i30 (PD),가솔린,1.4 터보,1230
아반떼 AD,가솔린,1.6 터보 스포츠,1399
K7 프리미어,가솔린,2.5 GDI 노블레스,1690
스타리아,디젤,투어러 11인승,2380
더 뉴 아반떼,가솔린,1.6 GDi 스마트,555
아반떼 AD,가솔린,1.6 GDI 스타일,790
그랜드 스타렉스,디젤,4WD 앰뷸런스,3200
싼타페 TM,디젤,2.0 2WD,2250
스파크,가솔린,LS+,180
카니발 4세대,가솔린,9인승 노블레스,2920
올 뉴 K3,가솔린,프레스티지,1380
G80 (RG3),가솔린,2.5 터보 AWD,6090
카니발 R,디젤,그랜드 카니발 GLX,349
그랜저 HG,가솔린,HG240 모던,610
카니발 4세대,디젤,7인승 노블레스,2489
G80,디젤,2.2D AWD,2490
GV80,가솔린,2.5T  2WD,4750
더 뉴 쏘렌토,디젤,2.0 4WD,2290
티볼리 아머,가솔린,기어 에디션 2WD,850
일렉트리파이드 GV70,전기,e-AWD,5850
쏘나타 하이브리드 (DN8),가솔린+전기,프리미엄,1649
G90 (RS4),가솔린,3.5 터보 2WD,7650
아반떼 하이브리드 (CN7),가솔린+전기,모던,1890
쏘렌토 4세대,디젤,2.2 4WD,3390
K3 쿱,가솔린,1.6 터보 프레스티지,690
더 뉴 셀토스,가솔린,1.6 터보 2WD,2549
K7 프리미어 하이브리드,가솔린+전기,노블레스,2360
K5 3세대,가솔린,2,1920
XM3,가솔린,1.3 TCe RE 시그니처,1490
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2320
쏠라티,디젤,15인승,5700
카니발 4세대,디젤,9인승 시그니처,3150
코란도 투리스모,디젤,4WD LT 11인승,550
올 뉴 말리부,가솔린,1.5 터보 LS,830
K3,가솔린,트렌디,600
K5 3세대,가솔린,2,1760
더 뉴 팰리세이드,가솔린,3.8 2WD,4270
K5 3세대,가솔린,2,1460
K7 프리미어,디젤,2.2  프레스티지,1590
올란도,LPG,LPG LTZ,699
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1259
더 뉴 카니발,가솔린,9인승 하이리무진,2100
올 뉴 모닝,가솔린,디럭스,290
쏘나타 하이브리드 (DN8),가솔린+전기,프리미엄 플러스,1940
코란도 투리스모,디젤,4WD 9인승 어드벤처 60th 에디션,300
렉스턴 스포츠,디젤,2.2 4WD,1790
더 뉴 i40,디젤,1.7 VGT,649
그랜저 HG,가솔린,HG240 모던,679
G4 렉스턴,디젤,2.2 4WD,2199
더 뉴 아반떼,가솔린,1.6 GDi 모던,699
더 뉴 레이,가솔린,럭셔리,1150
K3,가솔린,럭셔리,750
올 뉴 K3,가솔린,럭셔리,890
팰리세이드,가솔린,3.8 4WD,3690
쏘나타 (DN8),가솔린,1.6 터보,2090
더 뉴 그랜저 IG,가솔린,2.5,2590
올 뉴 카니발,디젤,9인승 럭셔리,659
더 뉴 모닝,가솔린,럭셔리,680
파크타운,가솔린,1.8 GXDi,530
쏘나타 (DN8),가솔린,2,1290
제네시스 DH,가솔린+LPG,G330 모던 AWD,1060
QM5,디젤,2WD SE,230
더 뉴 카니발,디젤,9인승 럭셔리,1449
카니발 4세대,가솔린,9인승 시그니처,3320
K5 하이브리드 2세대,가솔린+전기,노블레스,1099
팰리세이드,디젤,2.2 4WD,6666
더 뉴 팰리세이드,디젤,2.2 2WD,4650
아반떼 (CN7),가솔린,1.6,2089
더 뉴 셀토스,가솔린,1.6 터보 2WD,3030
올 뉴 카니발,디젤,9인승 프레스티지,1329
EV9,전기,롱레인지 4WD,6899
더 K9,가솔린,3.8 GDI AWD,3149
베리 뉴 티볼리,가솔린,1.5 2WD,840
SM3 네오,가솔린,SE,370
더 K9,가솔린,5.0 GDI AWD,2690
더 뉴 모하비,디젤,3.0 4WD,1390
더 뉴 G70,디젤,2.2 4WD,2790
더 뉴 K3 2세대,가솔린,1.6,1530
레이,가솔린,디럭스,590
